berthage,avg_parking_time
"207026",4077
"204085",4076
"203008",4075
"208378",4074
"205186",4073
"210024",4071
"208438",4069
"203354",4069
"208684",4069
"201098",4065
"208120",4064
"208591",4064
"210545",4062
"203002",4059
"208388",4059
"208371",4058
"208683",4057
"201168",4056
"210127",4054
"210290",4053
"205040",4053
"208506",4053
"201174",4052
"208353",4049
"208380",4049
"208429",4048
"203127",4045
"208394",4044
"208610",4044
"201171",4043
"201094",4042
"205193",4042
"210123",4041
"210043",4040
"208373",4040
"211035",4038
"208104",4037
"203360",4037
"208109",4035
"207073",4035
"208405",4033
"201173",4031
"204111",4031
"201096",4030
"208351",4029
"211186",4028
"208358",4028
"211209",4027
"211076",4025
"205042",4024
"201093",4024
"205043",4023
"208507",4023
"210320",4021
"208437",4021
"210592",4018
"210426",4017
"208426",4015
"210416",4015
"211197",4013
"208454",4012
"208366",4012
"211058",4010
"208364",4010
"208411",4009
"208123",4009
"201092",4008
"211080",4007
"208108",4006
"207089",4006
"208680",4005
"208436",4002
"208578",4001
"203009",4001
"201100",4000
"208409",3998
"204184",3998
"208375",3996
"204130",3996
"208144",3994
"210079",3994
"210109",3993
"208447",3993
"205039",3992
"211203",3992
"205070",3992
"208581",3991
"210019",3991
"201091",3990
"211074",3990
"210166",3990
"205071",3990
"210104",3990
"205052",3990
"210324",3989
"205190",3989
"211199",3987
"211115",3987
"208370",3986
"205194",3985
"207088",3983
"205149",3978
"204119",3978
"205098",3978
"208101",3978
"210386",3977
"203287",3977
"205187",3977
"203359",3977
"210114",3976
"211066",3976
"208359",3972
"201095",3971
"208646",3971
"203046",3970
"210082",3968
"208410",3968
"208424",3967
"208395",3967
"201099",3966
"208365",3966
"210538",3966
"203061",3965
"205196",3965
"203122",3965
"208153",3963
"210164",3963
"210211",3963
"211112",3960
"201097",3959
"210121",3958
"207117",3956
"204090",3956
"205046",3955
"210102",3953
"210549",3953
"203361",3953
"207011",3952
"208448",3952
"208377",3949
"205041",3949
"203004",3947
"208589",3945
"208451",3944
"210017",3941
"204082",3941
"211232",3941
"208361",3940
"207014",3940
"203036",3940
"211257",3939
"204080",3938
"208471",3937
"204083",3937
"202234",3935
"211188",3935
"208583",3933
"203365",3932
"208514",3932
"210604",3932
"208363",3932
"203105",3932
"208146",3931
"208474",3931
"208580",3930
"210539",3930
"208543",3928
"210018",3927
"205068",3927
"203010",3927
"208432",3927
"205148",3926
"207115",3926
"201172",3924
"208658",3923
"211013",3923
"208242",3921
"210021",3916
"208421",3915
"202220",3913
"208152",3912
"210074",3912
"203049",3912
"201166",3911
"210603",3910
"203119",3908
"210488",3906
"203005",3902
"208582",3901
"211242",3899
"203048",3896
"210165",3896
"210550",3894
"210110",3893
"203116",3891
"208138",3890
"208453",3890
"205079",3890
"208509",3889
"205066",3887
"211212",3886
"210213",3885
"210420",3883
"210551",3882
"210047",3881
"201167",3880
"205199",3878
"207009",3875
"208682",3874
"204076",3874
"210443",3873
"208404",3873
"205036",3872
"201157",3870
"204087",3870
"204092",3869
"208655",3867
"211012",3866
"208151",3866
"203363",3864
"207015",3863
"207013",3860
"211089",3859
"203051",3857
"205077",3856
"210126",3856
"207016",3855
"208579",3854
"204100",3853
"205075",3853
"208106",3852
"208643",3852
"210387",3852
"203050",3848
"203053",3848
"207008",3847
"204079",3846
"208508",3844
"204011",3840
"210029",3840
"210032",3840
"204124",3837
"205073",3837
"210483",3836
"208654",3835
"208577",3835
"205151",3834
"208476",3834
"208367",3833
"204091",3833
"204126",3833
"201163",3833
"206305",3830
"206304",3830
"205044",3829
"205154",3828
"208135",3827
"208457",3826
"205076",3826
"205198",3826
"202216",3825
"205080",3823
"208136",3823
"207012",3822
"204077",3822
"211037",3820
"208456",3820
"211245",3818
"208105",3817
"202319",3815
"210440",3814
"210076",3812
"211060",3812
"205153",3812
"208657",3812
"203082",3811
"210077",3811
"206286",3810
"205091",3810
"211231",3810
"208154",3808
"210275",3807
"210321",3807
"208245",3806
"205129",3805
"211075",3805
"204122",3805
"208179",3804
"208645",3803
"206307",3802
"208594",3799
"211055",3799
"208656",3799
"210240",3798
"210487",3798
"206289",3798
"208640",3796
"202311",3796
"208669",3796
"210084",3795
"205108",3795
"210016",3795
"210071",3794
"211190",3793
"208676",3793
"208644",3792
"211210",3791
"208504",3790
"210036",3789
"208396",3789
"205069",3788
"211038",3788
"210092",3787
"210070",3786
"203125",3786
"208244",3786
"206284",3781
"208381",3781
"208143",3780
"208632",3780
"206306",3780
"208181",3779
"208412",3779
"202213",3778
"203280",3777
"208137",3774
"208472",3774
"205051",3773
"211116",3772
"208402",3769
"205094",3768
"207006",3768
"210226",3766
"205074",3765
"211056",3765
"211254",3764
"208670",3764
"208584",3764
"210316",3763
"205050",3762
"208542",3762
"208172",3762
"210172",3760
"203364",3759
"208647",3758
"210227",3758
"208592",3758
"207081",3757
"208477",3756
"206302",3755
"211084",3754
"208178",3753
"203013",3752
"210288",3752
"202309",3750
"210168",3748
"211082",3748
"203044",3747
"204015",3745
"208441",3745
"203114",3744
"203015",3744
"203353",3743
"208659",3742
"211054",3742
"211244",3739
"210276",3738
"202217",3738
"211061",3737
"210399",3734
"210572",3733
"210514",3733
"208638",3733
"211165",3732
"202215",3731
"205172",3731
"205185",3731
"205034",3730
"205182",3730
"208631",3729
"203052",3728
"210314",3724
"208183",3724
"207010",3723
"208444",3722
"204013",3722
"203358",3721
"207184",3720
"208243",3720
"202235",3719
"208368",3718
"208422",3718
"210027",3718
"210574",3717
"208455",3716
"210485",3714
"210073",3713
"206287",3712
"208369",3711
"208400",3711
"211088",3710
"211234",3710
"205090",3710
"208177",3708
"201102",3707
"208155",3707
"208145",3707
"210111",3707
"206288",3705
"208596",3705
"205072",3705
"203289",3705
"211059",3704
"208671",3704
"204047",3703
"208600",3702
"204189",3698
"208660",3698
"211053",3698
"210025",3698
"211274",3697
"211069",3697
"203367",3695
"208483",3693
"205184",3693
"208639",3693
"210069",3692
"206285",3692
"210476",3691
"211166",3690
"211243",3690
"208174",3690
"205064",3689
"205082",3686
"203035",3686
"210548",3685
"208173",3684
"205147",3683
"210231",3683
"203055",3683
"208536",3682
"203034",3681
"210424",3681
"202219",3680
"202310",3679
"203277",3678
"203039",3674
"201232",3674
"210286",3673
"205081",3673
"210442",3673
"208398",3672
"207017",3672
"201150",3671
"210552",3670
"203366",3669
"208445",3669
"208139",3668
"203276",3668
"208140",3668
"203016",3667
"204010",3666
"210477",3665
"210072",3664
"203265",3661
"211273",3661
"208515",3661
"210540",3659
"208598",3658
"208633",3657
"210277",3655
"210273",3655
"203031",3654
"204012",3654
"208254",3654
"205104",3654
"201153",3652
"203056",3651
"203369",3651
"205152",3650
"203069",3648
"201235",3648
"208442",3646
"203275",3645
"208478",3644
"208485",3643
"211146",3643
"203083",3643
"203356",3642
"210576",3642
"205078",3641
"211256",3639
"206303",3637
"203003",3636
"203124",3635
"206078",3635
"203086",3634
"205053",3633
"208576",3632
"203054",3632
"203033",3631
"208180",3630
"210115",3630
"210340",3630
"208484",3627
"205027",3626
"202314",3626
"211235",3626
"203368",3626
"208634",3624
"203025",3624
"211145",3623
"211237",3621
"211271",3621
"210224",3620
"208475",3618
"204094",3618
"211045",3618
"203286",3617
"210274",3616
"211067",3616
"211147",3615
"211238",3613
"210097",3613
"208176",3610
"211048",3610
"210336",3610
"208562",3609
"203043",3608
"210012",3608
"210088",3606
"203040",3606
"210606",3604
"202214",3603
"210289",3603
"203288",3602
"208677",3601
"210401",3600
"208481",3600
"206282",3599
"205025",3599
"205065",3599
"211191",3599
"208597",3598
"210108",3597
"208642",3597
"210212",3597
"208561",3597
"210078",3595
"205032",3595
"208399",3594
"208563",3594
"208482",3593
"211033",3593
"208534",3593
"211236",3593
"210338",3591
"208255",3590
"208488",3589
"206308",3589
"211239",3589
"203041",3589
"205183",3587
"208685",3587
"204098",3585
"210112",3585
"210284",3584
"208674",3583
"203014",3579
"210390",3579
"204101",3579
"201170",3579
"203113",3578
"208459",3578
"206281",3578
"210094",3578
"210013",3577
"201204",3577
"206033",3576
"210384",3576
"210113",3573
"208360",3573
"202207",3573
"201199",3572
"208519",3571
"202218",3571
"205026",3571
"208460",3570
"208461",3570
"203355",3569
"201160",3566
"208142",3566
"204049",3566
"204008",3566
"205023",3565
"208530",3565
"203290",3565
"203107",3563
"208651",3563
"208486",3562
"211272",3562
"201197",3562
"205128",3562
"210489",3561
"205107",3561
"210065",3561
"208175",3560
"210232",3558
"210414",3558
"210495",3557
"208532",3557
"210605",3557
"203269",3556
"208641",3556
"204212",3555
"208141",3554
"210230",3554
"210215",3554
"206290",3553
"208518",3553
"208653",3552
"210511",3552
"201164",3551
"206030",3550
"208171",3550
"202210",3548
"210533",3546
"210484",3545
"210391",3545
"204120",3544
"203284",3544
"208401",3543
"211169",3542
"205157",3541
"205156",3541
"211168",3539
"208575",3538
"211228",3538
"205024",3538
"202312",3536
"210353",3536
"201154",3536
"204207",3535
"206102",3535
"204179",3534
"203062",3534
"208458",3530
"210106",3530
"203362",3528
"208446",3527
"201237",3527
"204215",3526
"210243",3526
"201169",3524
"205179",3523
"208661",3521
"210225",3520
"208516",3518
"210163",3517
"211275",3517
"211248",3515
"210491",3514
"210351",3514
"204048",3514
"204123",3512
"203104",3512
"205178",3512
"204009",3511
"210214",3511
"208675",3509
"211120",3509
"208256",3508
"210490",3508
"210075",3507
"210437",3507
"208531",3507
"205127",3506
"207149",3506
"208673",3505
"208241",3503
"211246",3503
"203282",3502
"204174",3501
"205028",3500
"203042",3497
"210101",3495
"210397",3492
"211117",3491
"205033",3491
"201162",3491
"210479",3490
"210486",3487
"208672",3487
"202318",3487
"208574",3486
"208533",3482
"211036",3481
"211028",3480
"210512",3479
"208517",3479
"204175",3478
"210229",3476
"201233",3474
"204089",3472
"204096",3472
"208443",3472
"202308",3472
"204093",3471
"210494",3471
"204132",3470
"211163",3469
"210233",3468
"204131",3468
"208649",3467
"201103",3467
"211167",3467
"201148",3466
"201161",3465
"210535",3461
"208678",3461
"204210",3460
"210045",3460
"205173",3459
"208650",3458
"204014",3457
"210434",3456
"210245",3456
"205177",3455
"205022",3454
"201248",3453
"203350",3453
"210068",3453
"208253",3452
"210228",3452
"203372",3451
"204127",3450
"210342",3448
"208252",3448
"210400",3447
"204213",3447
"210493",3445
"206034",3445
"203285",3444
"211040",3442
"203371",3441
"205110",3441
"204097",3440
"204206",3440
"211042",3438
"205155",3438
"211043",3436
"202209",3436
"204045",3435
"204217",3434
"201244",3434
"201198",3433
"202307",3433
"203273",3433
"204211",3432
"204214",3431
"211016",3430
"210246",3429
"201106",3429
"208535",3428
"206031",3427
"210170",3426
"206029",3425
"210234",3423
"208652",3422
"201206",3421
"202208",3420
"211164",3418
"203272",3418
"211122",3415
"210532",3415
"210478",3414
"210516",3413
"210337",3407
"210423",3406
"208599",3405
"210482",3404
"204095",3403
"211064",3402
"208595",3402
"211123",3402
"210221",3401
"203274",3401
"210341",3398
"205096",3398
"205099",3397
"208462",3396
"205176",3395
"211015",3395
"211170",3393
"203351",3391
"205158",3390
"205174",3390
"211144",3386
"210352",3385
"210349",3381
"211057",3380
"208271",3380
"203279",3379
"202301",3377
"205146",3375
"201239",3374
"201203",3373
"210244",3372
"211192",3372
"211148",3372
"208257",3371
"203270",3368
"210272",3364
"206295",3364
"201236",3362
"211049",3360
"210578",3358
"203017",3357
"206035",3357
"210203",3357
"204081",3354
"210223",3353
"211124",3351
"204208",3351
"203103",3350
"204046",3349
"206032",3348
"203037",3347
"203370",3347
"211230",3344
"210219",3343
"205112",3343
"203352",3339
"205083",3338
"201144",3337
"211047",3337
"205035",3336
"210146",3335
"211226",3335
"201145",3335
"201234",3334
"208487",3333
"210339",3332
"210033",3332
"204099",3331
"210107",3330
"210463",3330
"211247",3330
"210305",3329
"204173",3328
"208637",3326
"210513",3325
"203374",3325
"203121",3322
"205031",3322
"210287",3322
"211044",3321
"201245",3320
"203066",3317
"210481",3315
"201247",3314
"210308",3314
"206296",3309
"206080",3309
"202221",3307
"205145",3307
"205175",3307
"210096",3307
"210087",3305
"203267",3304
"210050",3302
"208403",3302
"201155",3301
"210306",3301
"201107",3298
"203281",3297
"210515",3297
"210143",3297
"205088",3297
"204177",3296
"210184",3295
"210492",3291
"210496",3291
"210269",3290
"210160",3289
"201202",3289
"205106",3287
"210454",3287
"203283",3286
"201143",3285
"204172",3285
"211277",3284
"205097",3284
"203268",3283
"205030",3281
"202212",3278
"201149",3278
"210239",3277
"206294",3269
"204125",3268
"210049",3268
"210089",3266
"203102",3266
"210303",3266
"210142",3266
"203348",3264
"210335",3263
"201109",3262
"204209",3258
"210302",3258
"210048",3257
"211083",3251
"204204",3247
"211118",3246
"210575",3244
"201146",3243
"210271",3242
"201238",3237
"202302",3237
"204006",3234
"205181",3233
"211132",3228
"210473",3226
"206036",3226
"208307",3225
"201200",3225
"205131",3224
"202313",3223
"211162",3219
"201240",3216
"208601",3215
"211224",3214
"210474",3209
"204218",3209
"205180",3208
"210531",3207
"206079",3206
"201192",3204
"203346",3204
"210116",3203
"201196",3202
"201246",3200
"203067",3200
"205171",3200
"208306",3198
"210433",3191
"210382",3190
"203038",3190
"210455",3188
"206297",3184
"210419",3182
"201116",3177
"211258",3174
"208305",3174
"206028",3170
"210236",3170
"210475",3167
"210162",3167
"204205",3167
"210418",3166
"206104",3166
"208273",3166
"206024",3163
"208304",3163
"203264",3162
"211143",3161
"204044",3160
"211229",3158
"210066",3158
"210183",3152
"202211",3151
"210304",3150
"206099",3148
"203101",3147
"211249",3147
"211063",3147
"204191",3147
"203029",3140
"205130",3138
"206101",3138
"206018",3136
"210216",3135
"211259",3133
"206027",3131
"203110",3131
"203262",3129
"211133",3128
"210541",3126
"210085",3126
"210380",3122
"210008",3120
"205021",3119
"210267",3118
"201151",3118
"203032",3117
"201225",3116
"210141",3113
"208272",3113
"210344",3110
"203065",3109
"203263",3109
"211121",3108
"201142",3108
"208648",3108
"201195",3107
"210350",3105
"203109",3105
"210144",3104
"208274",3102
"211223",3101
"205133",3101
"201105",3100
"203106",3100
"210577",3099
"210185",3099
"203266",3099
"210438",3098
"205109",3095
"201111",3095
"208303",3095
"210095",3094
"203344",3093
"208275",3091
"201113",3091
"210347",3087
"210161",3085
"208331",3085
"206077",3084
"208314",3083
"204203",3082
"208315",3081
"203349",3080
"210307",3079
"210456",3078
"201115",3077
"201124",3076
"208332",3075
"201243",3074
"211100",3072
"206026",3072
"210057",3069
"210147",3069
"211134",3067
"201201",3067
"201205",3066
"210378",3064
"210379",3063
"206103",3060
"204042",3058
"211017",3055
"206021",3054
"211262",3053
"208251",3053
"208316",3050
"201165",3049
"211276",3046
"211250",3044
"211019",3043
"204007",3043
"204004",3039
"211252",3037
"210145",3035
"210417",3035
"210131",3031
"203260",3031
"206020",3031
"204176",3030
"203255",3030
"210432",3030
"211260",3030
"211225",3030
"210385",3026
"203373",3024
"210348",3023
"210435",3022
"208276",3022
"203028",3020
"205102",3017
"210266",3016
"210059",3016
"210237",3014
"211280",3014
"210398",3013
"210270",3012
"206022",3012
"210331",3011
"203068",3009
"202303",3008
"211131",3007
"210158",3006
"210346",3003
"204002",3001
"201147",2998
"203073",2995
"210180",2989
"208308",2988
"210301",2987
"205111",2987
"210536",2985
"208261",2984
"201221",2984
"203030",2973
"210431",2972
"204194",2969
"208313",2968
"203375",2967
"208267",2967
"210300",2966
"210343",2965
"206023",2961
"210169",2961
"208268",2960
"211263",2959
"211227",2956
"206002",2954
"211119",2954
"201220",2952
"211151",2951
"201184",2951
"204183",2948
"206017",2946
"210260",2944
"201222",2943
"211152",2943
"201218",2942
"204005",2942
"211065",2941
"210159",2939
"206052",2939
"203376",2938
"205143",2935
"204216",2934
"201181",2932
"204001",2932
"206051",2931
"211154",2929
"204198",2929
"203258",2928
"206025",2928
"201127",2925
"211282",2923
"208333",2921
"203261",2920
"205132",2919
"203347",2918
"211261",2917
"210468",2916
"204003",2916
